timestamp	n_reports	n_success	pass_pct	n_fail	tierA	tierB	tierC	tierD	classes
2026-07-13T23:56:37	10663	9456	88.7	1207	366	786	54	1	timeout:584,no_conformers:157,donor_H_atom_count:118,high_rmsd:74,carborane_unsupported:54,gen_exception_other:45,geometry_or_fragment_change:38,EZ_bond_stereo:38,string_mismatch_other:35,winding_flip:18,atom_stereo:14,encode_crash_other:7,H_on_terminal_oxo_imido:6,garbled_aromatic:5,kekulize_encode_crash:5,macrocycle_perception:4,geometry_NON:3,rmsd_mapping_failed:1,interrupted:1
2026-07-14T00:27:07	10834	9603	88.6	1231	373	802	55	1	timeout:597,no_conformers:159,donor_H_atom_count:120,high_rmsd:75,carborane_unsupported:55,gen_exception_other:46,EZ_bond_stereo:40,geometry_or_fragment_change:38,string_mismatch_other:35,winding_flip:19,atom_stereo:14,H_on_terminal_oxo_imido:7,encode_crash_other:7,garbled_aromatic:5,kekulize_encode_crash:5,macrocycle_perception:4,geometry_NON:3,rmsd_mapping_failed:1,interrupted:1
2026-07-14T00:58:07	11039	9784	88.6	1255	382	816	56	1	timeout:603,no_conformers:166,donor_H_atom_count:124,high_rmsd:78,carborane_unsupported:56,gen_exception_other:47,EZ_bond_stereo:40,geometry_or_fragment_change:38,string_mismatch_other:35,winding_flip:19,atom_stereo:14,encode_crash_other:8,H_on_terminal_oxo_imido:7,garbled_aromatic:5,macrocycle_perception:5,kekulize_encode_crash:5,geometry_NON:3,rmsd_mapping_failed:1,interrupted:1
2026-07-14T01:29:07	11232	9952	88.6	1280	389	833	57	1	timeout:616,no_conformers:169,donor_H_atom_count:124,high_rmsd:80,carborane_unsupported:57,gen_exception_other:48,geometry_or_fragment_change:40,EZ_bond_stereo:40,string_mismatch_other:35,winding_flip:20,atom_stereo:15,encode_crash_other:8,H_on_terminal_oxo_imido:7,garbled_aromatic:5,macrocycle_perception:5,kekulize_encode_crash:5,geometry_NON:4,rmsd_mapping_failed:1,interrupted:1
2026-07-14T01:59:29	11417	10115	88.6	1302	394	850	57	1	timeout:630,no_conformers:172,donor_H_atom_count:125,high_rmsd:81,carborane_unsupported:57,gen_exception_other:48,geometry_or_fragment_change:41,EZ_bond_stereo:41,string_mismatch_other:35,winding_flip:20,atom_stereo:15,encode_crash_other:8,H_on_terminal_oxo_imido:7,macrocycle_perception:6,garbled_aromatic:5,kekulize_encode_crash:5,geometry_NON:4,rmsd_mapping_failed:1,interrupted:1
2026-07-14T02:30:00	11600	10273	88.6	1327	404	865	57	1	timeout:639,no_conformers:175,donor_H_atom_count:127,high_rmsd:83,carborane_unsupported:57,gen_exception_other:51,geometry_or_fragment_change:42,EZ_bond_stereo:41,string_mismatch_other:35,winding_flip:22,atom_stereo:15,encode_crash_other:8,macrocycle_perception:8,H_on_terminal_oxo_imido:7,garbled_aromatic:6,kekulize_encode_crash:5,geometry_NON:4,rmsd_mapping_failed:1,interrupted:1
2026-07-14T03:01:07	11809	10459	88.6	1350	414	876	59	1	timeout:647,no_conformers:178,donor_H_atom_count:129,high_rmsd:85,carborane_unsupported:59,gen_exception_other:51,geometry_or_fragment_change:44,EZ_bond_stereo:43,string_mismatch_other:36,winding_flip:22,atom_stereo:15,encode_crash_other:8,macrocycle_perception:8,H_on_terminal_oxo_imido:7,garbled_aromatic:6,kekulize_encode_crash:6,geometry_NON:4,rmsd_mapping_failed:1,interrupted:1
2026-07-14T10:46:43	14771	13090	88.6	1681	510	1092	79	0	timeout:806,no_conformers:225,donor_H_atom_count:168,high_rmsd:94,carborane_unsupported:79,gen_exception_other:61,EZ_bond_stereo:56,geometry_or_fragment_change:53,string_mismatch_other:44,winding_flip:29,atom_stereo:18,H_on_terminal_oxo_imido:9,encode_crash_other:9,macrocycle_perception:9,kekulize_encode_crash:8,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T11:18:11	14996	13297	88.7	1699	517	1102	80	0	timeout:813,no_conformers:228,donor_H_atom_count:170,high_rmsd:96,carborane_unsupported:80,gen_exception_other:61,EZ_bond_stereo:56,geometry_or_fragment_change:53,string_mismatch_other:44,winding_flip:30,atom_stereo:19,H_on_terminal_oxo_imido:9,encode_crash_other:9,macrocycle_perception:9,kekulize_encode_crash:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T11:49:09	15170	13448	88.6	1722	525	1117	80	0	timeout:821,no_conformers:234,donor_H_atom_count:174,high_rmsd:96,carborane_unsupported:80,gen_exception_other:62,geometry_or_fragment_change:57,EZ_bond_stereo:56,string_mismatch_other:44,winding_flip:30,atom_stereo:19,H_on_terminal_oxo_imido:9,encode_crash_other:9,macrocycle_perception:9,kekulize_encode_crash:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
